country,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Afghanistan,2020-03-11,nowcast,1.9,1.3,2.6,1.6,2.1,0
Afghanistan,2020-03-12,nowcast,1.9,1.3,2.5,1.6,2.1,0
Afghanistan,2020-03-13,nowcast,1.9,1.3,2.4,1.6,2,0
Afghanistan,2020-03-14,nowcast,1.8,1.4,2.4,1.6,2,0
Afghanistan,2020-03-15,nowcast,1.8,1.4,2.4,1.6,2,0
Afghanistan,2020-03-16,nowcast,1.9,1.4,2.3,1.6,2,0
Afghanistan,2020-03-17,nowcast,1.8,1.4,2.3,1.6,2,0
Afghanistan,2020-03-18,nowcast,1.8,1.4,2.2,1.6,1.9,0
Afghanistan,2020-03-19,nowcast,1.8,1.4,2.2,1.6,1.9,0
Afghanistan,2020-03-20,nowcast,1.7,1.4,2.1,1.5,1.8,0
Afghanistan,2020-03-21,nowcast,1.7,1.3,2,1.5,1.8,0
Afghanistan,2020-03-22,nowcast,1.6,1.3,1.9,1.5,1.7,0
Afghanistan,2020-03-23,nowcast,1.6,1.3,1.9,1.4,1.7,0
Afghanistan,2020-03-24,nowcast,1.5,1.3,1.8,1.4,1.6,0
Afghanistan,2020-03-25,nowcast,1.5,1.3,1.8,1.4,1.6,0
Afghanistan,2020-03-26,nowcast,1.5,1.2,1.7,1.4,1.6,0
Afghanistan,2020-03-27,nowcast,1.4,1.2,1.7,1.3,1.5,0
Afghanistan,2020-03-28,nowcast,1.4,1.2,1.6,1.3,1.5,0
Afghanistan,2020-03-29,nowcast,1.4,1.2,1.6,1.3,1.4,0
Afghanistan,2020-03-30,nowcast,1.4,1.2,1.6,1.3,1.4,0
Afghanistan,2020-03-31,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,2020-04-01,nowcast,1.3,1.1,1.5,1.2,1.4,0
Afghanistan,2020-04-02,nowcast,1.3,1.1,1.5,1.2,1.4,0
Afghanistan,2020-04-03,nowcast,1.3,1.1,1.5,1.2,1.3,0
Afghanistan,2020-04-04,nowcast,1.3,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-05,nowcast,1.3,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-06,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-07,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-08,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-09,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-10,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-11,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-12,nowcast,1.3,1.1,1.4,1.2,1.3,0
Afghanistan,2020-04-13,nowcast,1.3,1.2,1.4,1.2,1.3,0
Afghanistan,2020-04-14,nowcast,1.3,1.2,1.4,1.2,1.3,0
Afghanistan,2020-04-15,nowcast,1.3,1.2,1.4,1.2,1.4,0
Afghanistan,2020-04-16,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,2020-04-17,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,2020-04-18,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,2020-04-19,nowcast,1.4,1.2,1.5,1.3,1.4,0
Afghanistan,2020-04-20,nowcast,1.4,1.2,1.5,1.3,1.4,0
Afghanistan,2020-04-21,nowcast,1.4,1.2,1.5,1.3,1.4,0
Afghanistan,2020-04-22,nowcast,1.4,1.2,1.6,1.3,1.4,0
Afghanistan,2020-04-23,forecast,1.4,1.2,1.6,1.3,1.5,0
Afghanistan,2020-04-24,forecast,1.4,1.2,1.6,1.3,1.5,0
Afghanistan,2020-04-25,forecast,1.4,1.2,1.6,1.3,1.5,0
Afghanistan,2020-04-26,forecast,1.4,1.2,1.6,1.3,1.5,0
Afghanistan,2020-04-27,forecast,1.4,1.1,1.7,1.3,1.5,0.01
Afghanistan,2020-04-28,forecast,1.4,1.1,1.7,1.3,1.5,0.01
Afghanistan,2020-04-29,forecast,1.4,1.1,1.7,1.2,1.5,0.01
Afghanistan,2020-04-30,forecast,1.4,1.1,1.7,1.2,1.5,0.02
Afghanistan,2020-05-01,forecast,1.4,1.1,1.8,1.2,1.5,0.02
Afghanistan,2020-05-02,forecast,1.4,1,1.8,1.2,1.5,0.03
Afghanistan,2020-05-03,forecast,1.4,1,1.8,1.2,1.5,0.04
Afghanistan,2020-05-04,forecast,1.4,1,1.8,1.2,1.5,0.04
Afghanistan,2020-05-05,forecast,1.4,1,1.8,1.2,1.5,0.05
Afghanistan,2020-05-06,forecast,1.4,0.9,1.9,1.2,1.6,0.06
Algeria,2020-02-29,nowcast,2,1.3,2.9,1.6,2.2,0.01
Algeria,2020-03-01,nowcast,1.9,1.2,2.7,1.6,2.2,0
Algeria,2020-03-02,nowcast,1.9,1.3,2.6,1.6,2.1,0
Algeria,2020-03-03,nowcast,1.9,1.3,2.6,1.6,2.1,0
Algeria,2020-03-04,nowcast,2,1.4,2.6,1.7,2.2,0
Algeria,2020-03-05,nowcast,2,1.5,2.6,1.8,2.2,0
Algeria,2020-03-06,nowcast,2,1.5,2.6,1.8,2.2,0
Algeria,2020-03-07,nowcast,2,1.5,2.6,1.8,2.2,0
Algeria,2020-03-08,nowcast,2,1.5,2.5,1.8,2.2,0
Algeria,2020-03-09,nowcast,2,1.5,2.5,1.8,2.1,0
Algeria,2020-03-10,nowcast,1.9,1.5,2.4,1.7,2.1,0
Algeria,2020-03-11,nowcast,1.9,1.5,2.3,1.7,2,0
Algeria,2020-03-12,nowcast,1.8,1.5,2.2,1.7,2,0
Algeria,2020-03-13,nowcast,1.8,1.5,2.2,1.6,1.9,0
Algeria,2020-03-14,nowcast,1.7,1.5,2.1,1.6,1.8,0
Algeria,2020-03-15,nowcast,1.7,1.4,2,1.6,1.8,0
Algeria,2020-03-16,nowcast,1.7,1.4,2,1.5,1.8,0
Algeria,2020-03-17,nowcast,1.6,1.4,1.9,1.5,1.7,0
Algeria,2020-03-18,nowcast,1.6,1.3,1.8,1.5,1.7,0
Algeria,2020-03-19,nowcast,1.5,1.3,1.7,1.4,1.6,0
Algeria,2020-03-20,nowcast,1.5,1.2,1.7,1.4,1.5,0
Algeria,2020-03-21,nowcast,1.4,1.3,1.6,1.3,1.5,0
Algeria,2020-03-22,nowcast,1.4,1.2,1.6,1.3,1.5,0
