country,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Afghanistan,2020-01-30,1,1,1,1,1,1
Afghanistan,2020-01-31,0.5,0,1,0,1,1
Afghanistan,2020-02-01,0,0,1,0,0,1
Afghanistan,2020-02-02,0,0,0,0,0,1
Afghanistan,2020-02-03,0.5,0,1,0,1,1
Afghanistan,2020-02-04,0,0,1,0,0,1
Afghanistan,2020-02-05,0,0,1,0,0,1
Afghanistan,2020-02-06,0,0,1,0,0,1
Afghanistan,2020-02-07,0,0,1,0,0,1
Afghanistan,2020-02-08,0,0,1,0,0,1
Afghanistan,2020-02-09,0,0,1,0,0,1
Afghanistan,2020-02-10,0,0,1,0,0,1
Afghanistan,2020-02-11,0,0,1,0,0,1
Afghanistan,2020-02-12,0,0,1,0,0,1
Afghanistan,2020-02-13,0,0,1,0,0,1
Afghanistan,2020-02-14,0,0,1,0,0,1
Afghanistan,2020-02-15,0,0,1,0,0,1
Afghanistan,2020-02-16,0,0,1,0,0,1
Afghanistan,2020-02-17,0,0,1,0,0,1
Afghanistan,2020-02-18,0,0,1,0,0,1
Afghanistan,2020-02-19,0,0,1,0,0,1
Afghanistan,2020-02-20,0,0,1,0,0,1
Afghanistan,2020-02-21,0,0,1,0,0,1
Afghanistan,2020-02-22,0,0,1,0,0,1
Afghanistan,2020-02-23,0,0,1,0,0,1
Afghanistan,2020-02-24,0,0,1,0,0,1
Afghanistan,2020-02-25,0,0,1,0,0,1
Afghanistan,2020-02-26,0,0,1,0,0,1
Afghanistan,2020-02-27,0,0,1,0,0,1
Afghanistan,2020-02-28,0,0,1,0,0,1
Afghanistan,2020-02-29,0,0,1,0,0,1
Afghanistan,2020-03-01,0,0,1,0,0,1
Afghanistan,2020-03-02,0,0,1,0,0,1
Afghanistan,2020-03-03,0,0,1,0,0,1
Afghanistan,2020-03-04,0,0,1,0,0,1
Afghanistan,2020-03-05,0,0,1,0,0,1
Afghanistan,2020-03-06,0,0,1,0,0,1
Afghanistan,2020-03-07,0,0,1,0,0,1
Afghanistan,2020-03-08,0,0,1,0,0,1
Afghanistan,2020-03-09,0,0,1,0,0,1
Afghanistan,2020-03-10,0,0,1,0,0,1
Afghanistan,2020-03-11,0,0,1,0,0,1
Afghanistan,2020-03-12,0,0,1,0,0,1
Afghanistan,2020-03-13,0,0,2,0,0,1
Afghanistan,2020-03-14,0,0,2,0,0,1
Afghanistan,2020-03-15,0,0,2,0,0,1
Afghanistan,2020-03-16,1,0,2,0,1,1
Afghanistan,2020-03-17,1,0,2,0,1,1
Afghanistan,2020-03-18,1,0,2,0,1,1
Afghanistan,2020-03-19,1,0,2,0,1,1
Afghanistan,2020-03-20,1,0,2,0,1,1
Afghanistan,2020-03-21,1,0,3,0,1,1
Afghanistan,2020-03-22,1,0,2,0,1,1
Afghanistan,2020-03-23,1,0,3,0,1,1
Afghanistan,2020-03-24,1,0,3,0,1,1
Afghanistan,2020-03-25,1,0,3,0,1,1
Afghanistan,2020-03-26,1,0,3,0,1,1
Afghanistan,2020-03-27,1,0,3,0,1,1
Afghanistan,2020-03-28,2,0,4,1,2,1
Afghanistan,2020-03-29,2,0,4,1,2,1
Afghanistan,2020-03-30,2,0,4,1,2,1
Afghanistan,2020-03-31,2,0,4,1,2,1
Afghanistan,2020-04-01,2,0,4,0,2,1
Afghanistan,2020-04-02,2,0,5,0,2,1
Afghanistan,2020-04-03,2,0,5,0,2,1
Afghanistan,2020-04-04,2,0,5,0,2,1
Afghanistan,2020-04-05,2,0,5,0,2,1
Afghanistan,2020-04-06,3,0,5,1,3,1
Afghanistan,2020-04-07,3,0,5,1,3,1
Afghanistan,2020-04-08,3,0,5,1,3,1
Afghanistan,2020-04-09,3,1,6,1,3,1
Afghanistan,2020-04-10,3,1,6,1,3,0.99
Afghanistan,2020-04-11,3,1,6,1,3,0.99
Afghanistan,2020-04-12,3,1,6,2,4,0.99
Afghanistan,2020-04-13,4,0,6,2,4,0.99
Afghanistan,2020-04-14,4,1,7,2,4,0.99
Afghanistan,2020-04-15,4,1,7,2,4,0.99
Afghanistan,2020-04-16,4,1,7,2,4,0.98
Afghanistan,2020-04-17,4,1,7,3,5,0.98
Afghanistan,2020-04-18,4,1,7,3,5,0.98
Afghanistan,2020-04-19,5,1,8,3,5,0.98
Afghanistan,2020-04-20,5,1,8,3,5,0.97
Afghanistan,2020-04-21,5,1,8,2,5,0.97
Afghanistan,2020-04-22,5,2,9,3,6,0.96
Afghanistan,2020-04-23,5,2,9,3,6,0.96
Afghanistan,2020-04-24,6,2,9,3,6,0.95
Afghanistan,2020-04-25,6,2,10,3,6,0.94
Afghanistan,2020-04-26,6,2,10,4,7,0.93
Afghanistan,2020-04-27,6,2,10,4,7,0.92
Afghanistan,2020-04-28,6,3,11,4,7,0.91
Afghanistan,2020-04-29,7,2,10,4,7,0.9
Afghanistan,2020-04-30,7,2,11,5,8,0.89
Afghanistan,2020-05-01,7,2,11,5,8,0.87
Afghanistan,2020-05-02,7,3,12,5,8,0.85
Afghanistan,2020-05-03,8,3,12,5,8,0.83
